#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Tarik Skubal,DET,14,9,0,32,32,199.2,10.95,1.96,0.91,0.288,77.20%,42.40%,2.79,2.78,5.9
2,Paul Skenes,PIT,13,9,0,32,32,194,10.99,2.39,0.82,0.298,75.90%,44.40%,2.92,2.78,5.7
3,Garrett Crochet,BOS,14,9,0,32,32,193,11.14,2.33,0.91,0.3,75.80%,45.50%,3.02,2.84,5.6
4,Cristopher Sánchez,PHI,14,9,0,32,32,198,8.7,2.3,0.8,0.302,74.80%,54.50%,3.15,3.22,4.7
5,Chris Sale,ATL,12,8,0,28,28,168.2,10.98,2.36,0.97,0.297,75.00%,41.70%,3.19,3.04,4.2
6,Logan Webb,SFG,13,10,0,32,32,199.1,8.46,2.13,0.75,0.309,73.10%,54.70%,3.32,3.15,4.1
7,Cole Ragans,KCR,12,9,0,29,29,172,11.02,3.26,0.99,0.293,76.00%,39.80%,3.31,3.3,4.1
8,Jacob deGrom,TEX,11,9,0,29,29,174.2,10.44,2.05,1.22,0.29,74.50%,37.90%,3.52,3.34,4
9,Sonny Gray,BOS,12,10,0,31,31,181.1,9.41,2.38,1.05,0.305,72.90%,45.10%,3.69,3.44,3.9
10,Dylan Cease,TOR,12,9,0,31,31,177.2,10.57,3.29,1.07,0.288,75.10%,38.10%,3.54,3.52,3.8
11,Framber Valdez,DET,12,10,0,31,31,190.1,8.33,2.93,0.73,0.308,73.30%,55.50%,3.43,3.44,3.7
12,Zack Wheeler,PHI,11,7,0,26,26,154.2,10.33,2.27,1.04,0.288,75.60%,41.50%,3.2,3.22,3.7
13,Max Fried,NYY,13,9,0,31,31,189.1,8.54,2.58,0.89,0.296,75.30%,50.50%,3.28,3.5,3.7
14,Hunter Brown,HOU,12,10,0,31,31,184.1,9.79,2.97,1.02,0.299,73.70%,47.30%,3.63,3.54,3.6
15,Jesús Luzardo,PHI,12,10,0,31,31,181,9.84,2.85,1.16,0.289,75.40%,40.40%,3.57,3.67,3.5
16,Yoshinobu Yamamoto,LAD,11,7,0,26,26,154.1,9.48,2.75,0.98,0.3,74.50%,49.20%,3.45,3.46,3.4
17,Nathan Eovaldi,TEX,11,9,0,29,29,174.2,8.85,2.3,1.06,0.3,73.20%,46.00%,3.65,3.58,3.4
18,Joe Ryan,MIN,11,10,0,29,29,172.2,9.86,2.18,1.3,0.289,73.30%,33.60%,3.81,3.69,3.3
19,Bryan Woo,SEA,12,10,0,32,32,195,9.02,2.04,1.2,0.284,74.00%,39.50%,3.6,3.66,3.3
20,Ranger Suarez,BOS,11,10,0,29,29,171.2,8.04,2.59,0.96,0.306,72.90%,49.00%,3.74,3.69,3.3
21,Drew Rasmussen,TBR,11,10,0,31,31,171,8.47,2.37,1.03,0.299,72.60%,45.70%,3.72,3.63,3.2
22,Shane McClanahan,TBR,9,8,0,24,24,142.1,9.99,2.64,1.03,0.294,75.40%,44.50%,3.35,3.37,3.2
23,Logan Gilbert,SEA,11,9,0,29,29,166.1,9.82,2.1,1.13,0.287,74.80%,39.80%,3.4,3.39,3.2
24,George Kirby,SEA,12,10,0,31,31,178.1,8.77,1.71,1.11,0.29,73.50%,42.30%,3.51,3.49,3.2
25,Brandon Woodruff,MIL,10,10,0,28,28,167.2,9.45,2.46,1.31,0.286,73.70%,36.40%,3.86,3.87,3.1
26,Kyle Bradish,BAL,10,9,0,28,28,154,9.5,2.82,1.08,0.302,73.70%,45.20%,3.72,3.65,3
27,José Soriano,LAA,11,11,0,31,31,177.1,8.37,3.83,0.75,0.312,73.50%,57.20%,3.68,3.79,3
28,Aaron Nola,PHI,11,10,0,31,31,180.2,8.71,2.33,1.32,0.293,73.30%,42.30%,3.98,3.98,3
29,Kevin Gausman,TOR,11,10,0,31,31,185.1,8.8,2.65,1.22,0.291,72.80%,37.90%,3.98,3.9,2.9
30,Michael King,SDP,10,10,0,29,29,166.2,9.35,3.12,1.18,0.289,74.30%,40.20%,3.8,3.92,2.9
31,Tyler Glasnow,LAD,10,7,0,24,24,141.1,10.49,3.31,1.06,0.296,74.30%,44.70%,3.61,3.53,2.9
32,Freddy Peralta,NYM,11,9,0,29,29,168.1,9.9,3.34,1.2,0.282,74.30%,37.20%,3.8,3.92,2.7
33,MacKenzie Gore,TEX,10,9,0,29,29,161.1,10.17,3.41,1.17,0.294,74.30%,39.00%,3.82,3.81,2.7
34,Nick Pivetta,SDP,10,10,0,29,29,174,9.91,2.79,1.39,0.286,74.20%,33.80%,3.97,3.95,2.6
35,Eury Pérez,MIA,9,10,0,28,28,154,10.02,3.14,1.28,0.285,73.20%,32.30%,4,3.91,2.6
36,Jack Flaherty,DET,10,10,0,29,29,163,9.74,3.16,1.18,0.293,73.70%,39.80%,3.89,3.85,2.6
37,Yusei Kikuchi,LAA,10,11,0,31,31,177.2,9.21,3.19,1.32,0.297,73.70%,40.70%,4.11,4.15,2.6
38,Shohei Ohtani,LAD,9,6,0,23,23,117,10.5,2.79,1.14,0.29,75.40%,41.20%,3.46,3.49,2.6
39,Blake Snell,LAD,9,6,0,23,23,127,11.04,3.94,1.05,0.292,75.70%,42.90%,3.54,3.59,2.5
40,Sandy Alcantara,MIA,10,12,0,31,31,186.2,7.64,2.7,1.07,0.304,70.90%,47.00%,4.16,4.01,2.5
41,Spencer Strider,ATL,10,8,0,26,26,151.1,10.48,3.23,1.18,0.295,73.90%,37.20%,3.82,3.73,2.5
42,Emmet Sheehan,LAD,10,8,0,44,24,157,10.14,3.14,1.34,0.286,74.50%,35.70%,3.94,4,2.5
43,Nick Lodolo,CIN,9,10,0,28,28,157,9.19,2.5,1.3,0.297,72.60%,42.20%,4.03,4.05,2.5
44,Cody Ponce,TOR,9,9,0,44,23,154.2,8.76,2.56,1.13,0.3,72.50%,44.00%,3.91,3.8,2.4
45,Luis Castillo,SEA,11,10,0,31,31,181.1,8.51,2.54,1.23,0.286,73.60%,39.90%,3.86,3.98,2.4
46,Merrill Kelly,ARI,10,10,0,29,29,172.2,8.24,2.76,1.15,0.303,72.00%,42.30%,4.12,3.96,2.4
47,Brady Singer,CIN,10,11,0,31,31,178.1,8.41,2.87,1.36,0.3,72.00%,43.90%,4.37,4.36,2.3
48,Tanner Bibee,CLE,10,11,0,31,31,182,8.5,2.75,1.28,0.292,72.70%,39.60%,4.1,4.14,2.3
49,Carlos Rodón,NYY,10,9,0,28,28,161.2,9.76,3.26,1.27,0.284,73.80%,36.30%,3.96,4.03,2.3
50,Chase Burns,CIN,7,7,0,27,19,114.1,10.24,2.83,1.23,0.293,74.70%,40.90%,3.71,3.67,2.3
51,Mitch Keller,PIT,10,12,0,31,31,179.2,7.78,2.75,1.15,0.302,70.10%,42.70%,4.35,4.15,2.3
52,Ryan Pepiot,TBR,9,10,0,28,28,156.1,9.49,3.25,1.28,0.287,73.60%,36.20%,4.02,4.09,2.3
53,Matthew Boyd,CHC,11,10,0,29,29,173.2,8.09,2.71,1.25,0.285,73.80%,37.70%,3.93,4.18,2.2
54,Kris Bubic,KCR,9,9,0,34,24,149.1,8.52,3.13,1.08,0.301,73.20%,45.00%,3.91,3.95,2.2
55,David Peterson,NYM,11,9,0,29,29,169.2,7.96,3.47,0.92,0.298,74.60%,51.60%,3.65,3.98,2.2
56,Cade Cavalli,WSN,9,10,0,26,26,156,7.56,3.07,1,0.3,72.10%,49.90%,3.99,4.09,2.2
57,Joe Musgrove,SDP,9,9,0,26,26,149.2,8.52,2.31,1.22,0.294,72.80%,42.00%,3.91,3.96,2.2
58,Zac Gallen,ARI,11,11,0,31,31,184,8.51,2.9,1.14,0.308,71.30%,43.00%,4.24,3.96,2.2
59,Casey Mize,DET,9,10,0,28,28,150.2,7.96,2.49,1.2,0.295,72.20%,41.50%,4.06,4.02,2.2
60,Grayson Rodriguez,LAA,7,7,0,21,21,119.2,9.48,3.05,1.16,0.296,74.00%,42.50%,3.82,3.83,2.1
61,Andrew Abbott,CIN,9,11,0,29,29,170.1,8.32,2.9,1.59,0.286,72.90%,32.90%,4.54,4.64,2
62,Nolan McLean,NYM,10,8,0,26,26,149,8.53,3.49,0.94,0.294,73.60%,49.90%,3.71,3.92,2
63,Trevor Rogers,BAL,10,9,0,28,28,158.2,7.66,3.05,1.16,0.3,72.20%,43.40%,4.2,4.23,2
64,Foster Griffin,WSN,8,9,0,35,23,141.1,7.73,2.61,1.08,0.3,72.60%,46.20%,3.93,3.98,2
65,Shane Bieber,TOR,8,7,0,31,19,124,8.37,2.09,1.11,0.299,73.00%,45.80%,3.74,3.67,2
66,Bailey Ober,MIN,9,10,0,28,28,159.2,8.15,2.17,1.54,0.289,72.20%,31.80%,4.4,4.39,2
67,Steven Matz,TBR,8,9,0,35,23,137.2,7.62,2.57,1.19,0.294,72.20%,43.60%,4.06,4.13,2
68,Gerrit Cole,NYY,8,8,0,23,23,134.1,9.2,2.63,1.33,0.285,73.70%,37.90%,3.94,4,2
69,Gavin Williams,CLE,10,11,0,31,31,177.1,9.19,3.88,1.16,0.296,73.50%,42.00%,4.09,4.17,2
70,Reid Detmers,LAA,8,9,0,36,24,150.2,9.52,3.44,1.22,0.295,73.40%,39.70%,4.03,4.06,2
71,Shota Imanaga,CHC,9,9,0,26,26,155,8.16,1.96,1.55,0.284,74.20%,33.50%,4.11,4.29,2
72,Trey Yesavage,TOR,8,7,0,35,21,132.2,10.03,3.64,1.08,0.29,74.40%,41.30%,3.72,3.78,2
73,Chris Bassitt,BAL,10,11,0,37,29,179.1,8.14,3.04,1.22,0.301,71.50%,43.80%,4.3,4.28,1.9
74,Edward Cabrera,CHC,9,9,0,26,26,142.1,9.57,3.64,1.06,0.297,72.40%,45.60%,3.96,3.91,1.9
75,Michael Wacha,KCR,10,11,0,29,29,170,7.16,2.65,1.35,0.294,70.90%,37.70%,4.5,4.48,1.9
76,Max Meyer,MIA,8,9,0,34,24,149,8.29,2.92,1.12,0.301,72.20%,46.20%,4.05,4,1.9
77,Clay Holmes,NYM,10,9,0,28,28,154,7.52,3.62,0.84,0.302,72.50%,54.30%,3.88,4.05,1.9
78,Reynaldo López,ATL,9,9,0,34,24,150,9.13,3.12,1.16,0.299,72.50%,40.10%,4.06,3.92,1.9
79,Braxton Garrett,MIA,7,7,0,27,19,117,7.89,2.25,1.04,0.303,72.00%,47.30%,3.84,3.8,1.9
80,Bubba Chandler,PIT,9,10,0,38,26,162.1,8.22,3.52,1.15,0.296,71.60%,41.50%,4.3,4.3,1.8
81,Taj Bradley,MIN,8,9,0,36,24,145.1,8.8,3.19,1.25,0.298,72.40%,39.90%,4.23,4.15,1.8
82,Shane Baz,BAL,9,10,0,28,28,159,8.84,3.29,1.28,0.298,72.20%,42.10%,4.29,4.26,1.8
83,Brayan Bello,BOS,9,10,0,28,28,156,7.49,3.17,1.05,0.311,70.30%,49.60%,4.41,4.21,1.8
84,Brandon Pfaadt,ARI,10,10,0,29,29,164,7.81,2.15,1.27,0.304,70.60%,41.20%,4.31,4.07,1.8
85,Shane Smith,CHW,9,11,0,29,29,168.1,8.25,3.45,1.26,0.294,71.80%,41.60%,4.37,4.45,1.8
86,Luis Severino,ATH,10,11,0,29,29,172.2,7.36,2.9,1.32,0.297,70.90%,42.30%,4.51,4.54,1.8
87,Jeffrey Springs,ATH,9,11,0,29,29,166,7.72,2.88,1.5,0.291,71.70%,35.70%,4.62,4.64,1.8
88,Tatsuya Imai,HOU,9,9,0,26,26,153,8.55,3.65,1.16,0.305,71.60%,45.60%,4.37,4.27,1.8
89,Seth Lugo,KCR,9,10,0,28,28,161.1,7.73,2.94,1.3,0.301,71.20%,41.20%,4.49,4.4,1.7
90,Jared Jones,PIT,7,6,0,24,18,107,9.51,3.02,1.13,0.294,73.40%,39.10%,3.83,3.79,1.7
